ticker,bank_name,source_type,period_year,period_quarter,theme_tag,mention_count
ALLY,Ally Financial Inc.,sec_filing,2023,4,customer_facing_ai,8
ALLY,Ally Financial Inc.,sec_filing,2023,4,governance,8
ALLY,Ally Financial Inc.,sec_filing,2023,4,investment_spend,8
ALLY,Ally Financial Inc.,sec_filing,2023,4,measurable_outcomes,8
ALLY,Ally Financial Inc.,sec_filing,2023,4,operations_efficiency,8
ALLY,Ally Financial Inc.,sec_filing,2023,4,risk_controls,8
ALLY,Ally Financial Inc.,sec_filing,2023,4,use_cases,8
ALLY,Ally Financial Inc.,sec_filing,2023,4,vendors_partnerships,8
ALLY,Ally Financial Inc.,sec_filing,2024,1,customer_facing_ai,1
ALLY,Ally Financial Inc.,sec_filing,2024,1,governance,1
ALLY,Ally Financial Inc.,sec_filing,2024,1,investment_spend,1
ALLY,Ally Financial Inc.,sec_filing,2024,1,measurable_outcomes,1
ALLY,Ally Financial Inc.,sec_filing,2024,1,operations_efficiency,1
ALLY,Ally Financial Inc.,sec_filing,2024,1,risk_controls,1
ALLY,Ally Financial Inc.,sec_filing,2024,1,use_cases,1
ALLY,Ally Financial Inc.,sec_filing,2024,1,vendors_partnerships,1
ALLY,Ally Financial Inc.,sec_filing,2024,2,customer_facing_ai,1
ALLY,Ally Financial Inc.,sec_filing,2024,2,governance,1
ALLY,Ally Financial Inc.,sec_filing,2024,2,investment_spend,1
ALLY,Ally Financial Inc.,sec_filing,2024,2,measurable_outcomes,1
ALLY,Ally Financial Inc.,sec_filing,2024,2,operations_efficiency,1
ALLY,Ally Financial Inc.,sec_filing,2024,2,risk_controls,1
ALLY,Ally Financial Inc.,sec_filing,2024,2,use_cases,1
ALLY,Ally Financial Inc.,sec_filing,2024,2,vendors_partnerships,1
ALLY,Ally Financial Inc.,sec_filing,2024,3,customer_facing_ai,1
ALLY,Ally Financial Inc.,sec_filing,2024,3,governance,1
ALLY,Ally Financial Inc.,sec_filing,2024,3,investment_spend,1
ALLY,Ally Financial Inc.,sec_filing,2024,3,measurable_outcomes,1
ALLY,Ally Financial Inc.,sec_filing,2024,3,operations_efficiency,1
ALLY,Ally Financial Inc.,sec_filing,2024,3,risk_controls,1
ALLY,Ally Financial Inc.,sec_filing,2024,3,use_cases,1
ALLY,Ally Financial Inc.,sec_filing,2024,3,vendors_partnerships,1
ALLY,Ally Financial Inc.,sec_filing,2024,4,customer_facing_ai,8
ALLY,Ally Financial Inc.,sec_filing,2024,4,governance,8
ALLY,Ally Financial Inc.,sec_filing,2024,4,investment_spend,8
ALLY,Ally Financial Inc.,sec_filing,2024,4,measurable_outcomes,8
ALLY,Ally Financial Inc.,sec_filing,2024,4,operations_efficiency,8
ALLY,Ally Financial Inc.,sec_filing,2024,4,risk_controls,8
ALLY,Ally Financial Inc.,sec_filing,2024,4,use_cases,8
ALLY,Ally Financial Inc.,sec_filing,2024,4,vendors_partnerships,8
ALLY,Ally Financial Inc.,sec_filing,2025,1,customer_facing_ai,1
ALLY,Ally Financial Inc.,sec_filing,2025,1,governance,1
ALLY,Ally Financial Inc.,sec_filing,2025,1,investment_spend,1
ALLY,Ally Financial Inc.,sec_filing,2025,1,measurable_outcomes,1
ALLY,Ally Financial Inc.,sec_filing,2025,1,operations_efficiency,1
ALLY,Ally Financial Inc.,sec_filing,2025,1,risk_controls,1
ALLY,Ally Financial Inc.,sec_filing,2025,1,use_cases,1
ALLY,Ally Financial Inc.,sec_filing,2025,1,vendors_partnerships,1
ALLY,Ally Financial Inc.,sec_filing,2025,2,customer_facing_ai,4
ALLY,Ally Financial Inc.,sec_filing,2025,2,governance,4
ALLY,Ally Financial Inc.,sec_filing,2025,2,investment_spend,4
ALLY,Ally Financial Inc.,sec_filing,2025,2,measurable_outcomes,4
