ticker,bank_name,source_type,form_type,period_year,period_quarter,period_label,expected_doc_count,observed_doc_count,status,status_detail,storage_kind,local_refs,source_urls,manual_search_hint,notes
ALLY,Ally Financial Inc.,sec_filing,10-Q,2024,2,2024_Q2,1,1,available,local filing coverage complete,zip_member,/Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/10-Q/ALLY_10-Q_2024_Q2/primary-document.html,https://www.sec.gov/Archives/edgar/data/40729/000004072924000012/ally-20240331.htm,ALLY 10-Q 2024,
ALLY,Ally Financial Inc.,sec_filing,10-Q,2024,3,2024_Q3,1,1,available,local filing coverage complete,zip_member,/Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/10-Q/ALLY_10-Q_2024_Q3/primary-document.html,https://www.sec.gov/Archives/edgar/data/40729/000004072924000018/ally-20240630.htm,ALLY 10-Q 2024,
ALLY,Ally Financial Inc.,sec_filing,10-Q,2025,1,2025_Q1,0,1,not_filed_by_cutoff,filing missing locally,zip_member,/Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/10-Q/ALLY_10-Q_2025_Q1/primary-document.html,,ALLY 10-Q 2025,
ALLY,Ally Financial Inc.,sec_filing,10-Q,2025,2,2025_Q2,1,1,available,local filing coverage complete,zip_member,/Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/10-Q/ALLY_10-Q_2025_Q2/primary-document.html,https://www.sec.gov/Archives/edgar/data/40729/000004072925000011/ally-20250331.htm,ALLY 10-Q 2025,
ALLY,Ally Financial Inc.,sec_filing,10-Q,2025,3,2025_Q3,1,1,available,local filing coverage complete,zip_member,/Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/10-Q/ALLY_10-Q_2025_Q3/primary-document.html,https://www.sec.gov/Archives/edgar/data/40729/000004072925000020/ally-20250630.htm,ALLY 10-Q 2025,
ALLY,Ally Financial Inc.,sec_filing,DEF 14A,2024,2,2024_Q2,1,1,available,local filing coverage complete,zip_member,/Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/DEF 14A/ALLY_DEF14A_2024_Q2/primary-document.html,https://www.sec.gov/Archives/edgar/data/40729/000119312524088480/d441646ddef14a.htm,ALLY DEF 14A 2024,
ALLY,Ally Financial Inc.,sec_filing,DEF 14A,2025,2,2025_Q2,0,1,not_filed_by_cutoff,filing missing locally,zip_member,/Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/DEF 14A/ALLY_DEF14A_2025_Q2/primary-document.html,,ALLY DEF 14A 2025,
ALLY,Ally Financial Inc.,sec_filing,8-K,2020,1,2020_Q1,4,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000119312520011483/d875492d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312520040829/d870401d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312520041314/d883280d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312520042380/d880830d8k.htm,ALLY 8-K 2020 Q1,
ALLY,Ally Financial Inc.,sec_filing,8-K,2020,2,2020_Q2,7,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000004072920000012/annualmeeting20208-k.htm | https://www.sec.gov/Archives/edgar/data/40729/000004072920000016/a2020ccar8-k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312520099014/d910896d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312520100960/d921710d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312520111580/d905443d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312520159207/d857359d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312520177787/d920819d8k.htm,ALLY 8-K 2020 Q2,
ALLY,Ally Financial Inc.,sec_filing,8-K,2020,3,2020_Q3,3,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000004072920000026/ally-20200915.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312520194379/d920848d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312520248714/d940875d8k.htm,ALLY 8-K 2020 Q3,
