ticker,bank_name,workstream,cluster,rating,current_score
RJF,Raymond James Financial Inc,private_credit,Private Credit Active,4,70.03076923076922
SCHW,Schwab Charles Corp,private_credit,Private Credit Limited,1,4.2
SF,Stifel Financial Corp,private_credit,Private Credit Limited,2,22.488461538461536
SNV,Synovus Financial Corp,private_credit,Private Credit Active,2,34.42435897435898
SOFI,"SoFi Technologies, Inc.",private_credit,Private Credit Active,2,38.59102564102564
SSB,SouthState Bank Corp,private_credit,Private Credit Active,3,45.83846153846154
STT,State Street Corp,private_credit,Private Credit Leaders,5,95.64102564102564
SYF,Synchrony Financial,private_credit,Private Credit Limited,1,4.2
TFC,Truist Financial Corp,private_credit,Private Credit Limited,1,4.2
UMBF,Umb Financial Corp,private_credit,Private Credit Active,3,50.07179487179488
USB,Us Bancorp \De\,private_credit,Private Credit Active,3,59.328205128205134
VLY,Valley National Bancorp,private_credit,Private Credit Active,3,43.943589743589754
WAL,Western Alliance Bancorporation,private_credit,Private Credit Active,3,45.437179487179485
WBS,Webster Financial Corp,private_credit,Private Credit Leaders,4,68.8525641025641
WFC,Wells Fargo & Company/Mn,private_credit,Private Credit Leaders,5,84.11025641025641
WTFC,Wintrust Financial Corp,private_credit,Private Credit Active,3,55.21025641025642
ZION,"Zions Bancorporation, National Association",private_credit,Private Credit Active,3,52.59743589743589
ALLY,Ally Financial Inc.,risk_resilience,Risk Watch,3,41.54336734693877
ASB,Associated Banc-Corp,risk_resilience,Risk Resilient,3,58.182397959183675
AXP,American Express Co,risk_resilience,Risk Resilient,4,64.96811224489795
BAC,Bank Of America Corp,risk_resilience,Risk Resilient,3,44.538690476190474
BK,Bank of New York Mellon Corp,risk_resilience,Risk Resilient,4,63.718112244897966
BKU,"BankUnited, Inc.",risk_resilience,Risk Watch,2,29.075255102040817
BOKF,Bok Financial Corp,risk_resilience,Risk Resilient,3,47.34906462585034
BPOP,"Popular, Inc.",risk_resilience,Risk Watch,3,40.27423469387755
C,Citigroup Inc,risk_resilience,Risk Watch,2,29.787414965986393
CFG,Citizens Financial Group Inc/Ri,risk_resilience,Risk Watch,2,32.16624149659864
CFR,"Cullen/Frost Bankers, Inc.",risk_resilience,Risk Resilient,3,59.66836734693877
CMA,Comerica Inc,risk_resilience,Risk Resilient,3,48.81377551020408
COF,Capital One Financial Corp,risk_resilience,Risk Watch,2,36.817602040816325
COLB,"Columbia Banking System, Inc.",risk_resilience,Risk Resilient,3,57.91454081632653
DFS,Discover Financial Services,risk_resilience,Risk Resilient,4,62.7673469387755
EWBC,East West Bancorp Inc,risk_resilience,Risk Resilient,4,72.53401360544218
FCNCA,First Citizens Bancshares Inc,risk_resilience,Risk Watch,2,30.880102040816325
FHN,First Horizon Corp,risk_resilience,Risk Resilient,3,57.92517006802721
FITB,Fifth Third Bancorp,risk_resilience,Risk Resilient,3,51.877125850340136
FLG,"Flagstar Financial, Inc.",risk_resilience,Risk Watch,1,16.61777210884354
FNB,Fnb Corp,risk_resilience,Risk Resilient,4,65.7610544217687
GS,Goldman Sachs Group Inc,risk_resilience,Risk Watch,3,41.50085034013605
HBAN,Huntington Bancshares Inc,risk_resilience,Risk Resilient,3,45.737670068027214
JPM,Jpmorgan Chase & Co,risk_resilience,Risk Resilient,3,45.04676870748299
KEY,Keycorp,risk_resilience,Risk Resilient,3,47.06845238095238
MS,Morgan Stanley,risk_resilience,Risk Resilient,3,58.46301020408164
MTB,M&T Bank Corp,risk_resilience,Risk Resilient,3,53.74574829931973
NTRS,Northern Trust Corp,risk_resilience,Risk Resilient,3,51.1734693877551
ONB,Old National Bancorp,risk_resilience,Risk Moderate,2,37.561649659863946
PB,Prosperity Bancshares Inc,risk_resilience,Risk Moderate,4,61.009778911564624
PNC,"Pnc Financial Services Group, Inc.",risk_resilience,Risk Resilient,3,50.55484693877551
PNFP,Pinnacle Financial Partners Inc,risk_resilience,Risk Resilient,4,63.24617346938776
RF,Regions Financial Corp,risk_resilience,Risk Resilient,3,52.93579931972789
RJF,Raymond James Financial Inc,risk_resilience,Risk Resilient,4,64.49617346938774
SCHW,Schwab Charles Corp,risk_resilience,Risk Resilient,3,42.09183673469388
SF,Stifel Financial Corp,risk_resilience,Risk Resilient,4,65.86096938775509
SNV,Synovus Financial Corp,risk_resilience,Risk Resilient,4,68.47576530612244
SOFI,"SoFi Technologies, Inc.",risk_resilience,Risk Resilient,5,90.2281746031746
SSB,SouthState Bank Corp,risk_resilience,Risk Resilient,4,61.96215986394559
