ticker,bank_name,period_year,period_quarter,period_label,cert_x,risk_report_date,CERT,REPDTE,NAME,ASSET,DEP,NETINC,ROA,ROE,EQ,NIMY,NCLNLS,NCLNLSR,P3ASSET,P9ASSET,COREDEP,DEPDOM,DEPINS,DEPUNINS,LNLSNET,equity_assets_ratio,deposit_assets_ratio,core_deposit_ratio,cert_y,ffiec_institution_name,commercial_loan_90_plus_dpd_numerator,commercial_loan_90_plus_dpd_denominator,commercial_loan_90_plus_dpd_rate,nondepository_requested_numerator,nondepository_requested_denominator,nondepository_requested_rate,quarterly_score,quarterly_rating
ASB,Associated Banc-Corp,2024,3,2024_Q3,5296.0,20240930,5296.0,20240930,ASSOCIATED BANK NA,42160789.0,33823377.0,296632.0,0.9542376204354217,9.53,4251516.0,2.774488546208746,138541.0,0.4607290820479942,51434.0,10065.0,28050573.0,33823377.0,23617962.0,14979903.0,29708184.0,10.084052269515166,80.22472492153788,82.93250257063333,5296.0,"ASSOCIATED BANK, NATIONAL ASSOCIATION",474.0,7141537.0,6.63722669223726e-05,,2315501.0,,51.0,3
ASB,Associated Banc-Corp,2024,4,2024_Q4,5296.0,20241231,5296.0,20241231,ASSOCIATED BANK NA,42965617.0,34897534.0,129224.0,0.30951532612236204,3.07,4452640.0,2.7833725905618576,128898.0,0.423339443331852,79430.0,5638.0,28885201.0,34897534.0,24357044.0,15467247.0,30084362.0,10.363263257688118,81.22200130397289,82.77146746242872,5296.0,"ASSOCIATED BANK, NATIONAL ASSOCIATION",642.0,7460519.0,8.605299443644604e-05,0.0,2310995.0,0.0,44.811819727891155,3
ASB,Associated Banc-Corp,2025,1,2025_Q1,5296.0,20250331,5296.0,20250331,ASSOCIATED BANK NA,43249136.0,35229355.0,104214.0,0.9670177910270182,9.26,4546126.0,2.923991173168993,140461.0,0.4628093215446848,45288.0,5653.0,29158529.0,35229355.0,23685540.0,16157190.0,29978300.0,10.511483975078715,81.45678332163676,82.76770607920582,5296.0,"ASSOCIATED BANK, NATIONAL ASSOCIATION",515.0,7747492.0,6.64731244640201e-05,0.0,2321931.0,0.0,55.23265306122449,3
ASB,Associated Banc-Corp,2025,2,2025_Q2,5296.0,20250630,5296.0,20250630,ASSOCIATED BANK NA,43932191.0,34198680.0,217796.0,1.0040773604334499,9.59,4630554.0,2.9759426066575636,129373.0,0.42123458888415144,40601.0,16374.0,28337728.0,34198680.0,23350474.0,15897324.0,30336300.0,10.54023005590593,77.84423954634997,82.86205198563219,5296.0,"ASSOCIATED BANK, NATIONAL ASSOCIATION",558.0,8060582.0,6.922577054609704e-05,0.0,2377040.0,0.0,56.94940476190476,3
ASB,Associated Banc-Corp,2025,3,2025_Q3,5296.0,20250930,5296.0,20250930,ASSOCIATED BANK NA,44393788.0,34944872.0,344299.0,1.0520268855065877,10.01,4705377.0,2.9975359867556315,110978.0,0.3576874717560235,50463.0,4799.0,28918200.0,34944872.0,23780452.0,16098064.0,30648186.0,10.59917887610762,78.71567977033183,82.75377285685866,5296.0,"ASSOCIATED BANK, NATIONAL ASSOCIATION",395.0,7808034.0,5.058891905439961e-05,0.0,2925734.0,0.0,57.259778911564624,3
ASB,Associated Banc-Corp,2025,4,2025_Q4,5296.0,20251231,5296.0,20251231,ASSOCIATED BANK NA,45145405.0,35635550.0,483092.0,1.0995049724052457,10.44,4800581.0,3.0079536789278785,104554.0,0.3347215448990084,59565.0,4126.0,29613845.0,35635550.0,24051100.0,17047967.0,30858045.0,10.633598258781818,78.9350544091918,83.10197260881338,5296.0,"ASSOCIATED BANK, NATIONAL ASSOCIATION",370.0,8202112.0,4.511033255824841e-05,0.0,2729459.0,0.0,58.182397959183675,3
AXP,American Express Co,2024,1,2024_Q1,27471.0,20240331,27471.0,20240331,AMERICAN EXPRESS NB,189502555.0,147755180.0,1560695.0,3.3751736433409367,37.64,16513795.0,7.871845723031869,1050359.0,0.7238451693185008,900107.0,537576.0,119217376.0,147755180.0,123750442.0,24980640.0,140011623.0,8.714286200521148,77.97001998205249,80.68575057740784,27471.0,AMERICAN EXPRESS NATIONAL BANK,293111.0,42624429.0,0.006876596516987946,,944373.0,,69.8888888888889,4
AXP,American Express Co,2024,2,2024_Q2,27471.0,20240630,27471.0,20240630,AMERICAN EXPRESS NB,192276019.0,148704404.0,3176611.0,3.3901961546550985,37.85,17189316.0,7.763520571813835,993973.0,0.6650214232033709,849645.0,499446.0,122574135.0,148704404.0,122680750.0,30302235.0,144297691.0,8.939916735014156,77.33902791070373,82.42804631394776,27471.0,AMERICAN EXPRESS NATIONAL BANK,278298.0,43606995.0,0.0063819577570066455,,1154357.0,,69.55555555555556,4
AXP,American Express Co,2024,3,2024_Q3,27471.0,20240930,27471.0,20240930,AMERICAN EXPRESS NB,192153512.0,146507586.0,5044482.0,3.566398065111735,39.61,17556722.0,7.936375078959687,1047668.0,0.6937627630636946,972227.0,524984.0,122668980.0,146507586.0,123797198.0,30074271.0,145583581.0,9.13682077275798,76.24507326204893,83.72875654370553,27471.0,AMERICAN EXPRESS NATIONAL BANK,289382.0,43874628.0,0.006595657061753322,,1250826.0,,70.55555555555556,4
AXP,American Express Co,2024,4,2024_Q4,27471.0,20241231,27471.0,20241231,AMERICAN EXPRESS NB,193062339.0,149994141.0,6938249.0,3.6616722306958263,40.12,18549549.0,8.035520735361851,1183078.0,0.7431413424333231,932174.0,563807.0,124902907.0,149994141.0,127474645.0,29160858.0,153621461.0,9.608061880986535,77.69207696173204,83.27185726541146,27471.0,AMERICAN EXPRESS NATIONAL BANK,319906.0,44047013.0,0.007262830739510078,3663.0,1313072.0,0.0027896413905711187,65.51462585034014,4
AXP,American Express Co,2025,1,2025_Q1,27471.0,20250331,27471.0,20250331,AMERICAN EXPRESS NB,203447693.0,158851165.0,2109169.0,4.255466605697381,44.75,19159693.0,8.293664227786813,1115030.0,0.7069484256070322,980335.0,535256.0,131866881.0,158851165.0,134098194.0,34620419.0,152237569.0,9.417503200687559,78.07960987790607,83.01285105463344,27471.0,AMERICAN EXPRESS NATIONAL BANK,321713.0,45768629.0,0.007029115947519424,3799.0,1347373.0,0.0028195607303990802,64.74353741496599,4
AXP,American Express Co,2025,2,2025_Q2,27471.0,20250630,27471.0,20250630,AMERICAN EXPRESS NB,211720953.0,168449838.0,3980595.0,3.926726948973177,42.73,18181353.0,8.153299912830466,1123413.0,0.698683553989836,927378.0,531812.0,139516055.0,168449838.0,137341300.0,36355947.0,155094501.0,8.587413169257745,79.56219524479468,82.82350203269415,27471.0,AMERICAN EXPRESS NATIONAL BANK,335797.0,46058679.0,0.007290634627189373,3890.0,1356610.0,0.002867441637611399,64.62585034013605,4
AXP,American Express Co,2025,3,2025_Q3,27471.0,20250930,27471.0,20250930,AMERICAN EXPRESS NB,211134002.0,168152162.0,6114398.0,3.979826808684467,44.03,18165686.0,8.23645171520825,1213332.0,0.7434886378225766,988437.0,621140.0,139528447.0,168152162.0,137890130.0,37572882.0,157391325.0,8.603865709891673,79.64238843916766,82.97749213596195,27471.0,AMERICAN EXPRESS NATIONAL BANK,322877.0,46742797.0,0.006907524168910988,4769.0,1451279.0,0.003286066979540116,64.76828231292518,4
AXP,American Express Co,2025,4,2025_Q4,27471.0,20251231,27471.0,20251231,AMERICAN EXPRESS NB,211275193.0,167788454.0,8009173.0,3.8855330674183493,43.03,19010556.0,8.30406780384196,1211380.0,0.7079580976095605,1015545.0,547946.0,140269165.0,167788454.0,139972833.0,35608844.0,165259395.0,8.998006689786813,79.4170160810124,83.59881842644548,27471.0,AMERICAN EXPRESS NATIONAL BANK,344979.0,46997287.0,0.0073404024364214894,5851.0,1540337.0,0.003798519414907257,64.96811224489795,4
BAC,Bank Of America Corp,2024,1,2024_Q1,3510.0,20240331,3510.0,20240331,BANK OF AMERICA NA,2550363000.0,2048157000.0,6410000.0,1.007370819131166,10.83,237333000.0,2.5429404980690533,7986000.0,0.7623866348448688,3941000.0,1869000.0,1802524000.0,1929388000.0,1207690000.0,794623000.0,1034335000.0,9.305851755220727,80.30845020885262,88.00712054788768,3510.0,"BANK OF AMERICA, NATIONAL ASSOCIATION",1149000.0,327109000.0,0.003512590604355123,,70128000.0,,47.05555555555556,3
BAC,Bank Of America Corp,2024,2,2024_Q2,3510.0,20240630,3510.0,20240630,BANK OF AMERICA NA,2550584000.0,2018886000.0,13217000.0,1.0378398921720708,11.12,239356000.0,2.4989117507402048,7830000.0,0.7425101775101918,3782000.0,1777000.0,1757911000.0,1901769000.0,1193114000.0,781300000.0,1041322000.0,9.384360601336791,79.15387221122691,87.07331667067878,3510.0,"BANK OF AMERICA, NATIONAL ASSOCIATION",1392000.0,327219000.0,0.004254031703537997,,73863000.0,,44.66666666666667,3
