ticker,bank_name,period_year,period_quarter,period_label,weighted_hits,matched_chunks,matched_docs,family_breadth,source_breadth,asset_based_lending,direct_lending,fund_finance,private_capital,private_credit,private_debt,sponsor_finance,quarterly_score,quarterly_rating
BK,Bank of New York Mellon Corp,2025,2,2025_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BK,Bank of New York Mellon Corp,2025,3,2025_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BK,Bank of New York Mellon Corp,2025,4,2025_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BKU,"BankUnited, Inc.",2024,1,2024_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BKU,"BankUnited, Inc.",2024,2,2024_Q2,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.041666666666664,3
BKU,"BankUnited, Inc.",2024,3,2024_Q3,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.1,3
BKU,"BankUnited, Inc.",2024,4,2024_Q4,4.9,5.0,4.0,3.0,2.0,0.0,0.0,0.9,0.0,2.0,0.0,2.0,90.58823529411765,5
BKU,"BankUnited, Inc.",2025,1,2025_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BKU,"BankUnited, Inc.",2025,2,2025_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BKU,"BankUnited, Inc.",2025,3,2025_Q3,3.9,3.0,3.0,2.0,1.0,0.0,0.0,0.9,0.0,3.0,0.0,0.0,55.80357142857142,3
BKU,"BankUnited, Inc.",2025,4,2025_Q4,4.9,5.0,4.0,2.0,1.0,0.0,0.0,0.9,0.0,4.0,0.0,0.0,78.26923076923077,4
BOKF,Bok Financial Corp,2024,1,2024_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BOKF,Bok Financial Corp,2024,2,2024_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BOKF,Bok Financial Corp,2024,3,2024_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BOKF,Bok Financial Corp,2024,4,2024_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BOKF,Bok Financial Corp,2025,1,2025_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BOKF,Bok Financial Corp,2025,2,2025_Q2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.428571428571427,2
BOKF,Bok Financial Corp,2025,3,2025_Q3,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,19.910714285714285,1
BOKF,Bok Financial Corp,2025,4,2025_Q4,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,28.07692307692308,2
BPOP,"Popular, Inc.",2024,1,2024_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BPOP,"Popular, Inc.",2024,2,2024_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BPOP,"Popular, Inc.",2024,3,2024_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BPOP,"Popular, Inc.",2024,4,2024_Q4,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,39.411764705882355,2
BPOP,"Popular, Inc.",2025,1,2025_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BPOP,"Popular, Inc.",2025,2,2025_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BPOP,"Popular, Inc.",2025,3,2025_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BPOP,"Popular, Inc.",2025,4,2025_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
C,Citigroup Inc,2024,1,2024_Q1,1.6,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,61.59090909090909,4
C,Citigroup Inc,2024,2,2024_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
C,Citigroup Inc,2024,3,2024_Q3,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,59.300000000000004,3
C,Citigroup Inc,2024,4,2024_Q4,4.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,65.58823529411765,4
