ticker,bank_name,cert,period_year,period_quarter,period_label,risk_report_date,CERT,REPDTE,NAME,ASSET,DEP,NETINC,ROA,ROE,EQ,NIMY,NCLNLS,NCLNLSR,P3ASSET,P9ASSET,COREDEP,DEPDOM,DEPINS,DEPUNINS,LNLSNET,equity_assets_ratio,deposit_assets_ratio,core_deposit_ratio
ALLY,Ally Financial Inc.,57803,2024,1,2024_Q1,20240331,57803,20240331,ALLY BANK,182369000,159079000,360000,0.781582868137743,10.43,13914000,3.6775790067551632,1249000,0.9042010236511189,3447000,74000,143373000,159079000,144251000,16877000,134565000,7.629586168701917,87.22918917140522,90.12691807215283
ALLY,Ally Financial Inc.,57803,2024,2,2024_Q2,20240630,57803,20240630,ALLY BANK,181969000,155556000,943000,1.02788254016699,13.54,14180000,3.731168807812434,1212000,0.8726330189358484,3840000,76000,140083000,155556000,141956000,15807000,135303000,7.7925360913122566,85.48489028350983,90.05309984828614
ALLY,Ally Financial Inc.,57803,2024,3,2024_Q3,20240930,57803,20240930,ALLY BANK,182176000,155688000,1386000,1.0089452218588424,13.09,14671000,3.7831722692545013,1489000,1.0822007413329457,3671000,96000,139924000,155688000,142170000,15914000,133881000,8.053201299841911,85.46021429826102,89.87462103694568
ALLY,Ally Financial Inc.,57803,2024,4,2024_Q4,20241231,57803,20241231,ALLY BANK,181409000,156636000,1446000,0.7909964257464412,10.29,13776000,3.816587136879511,1485000,1.0921607131037223,3911000,95000,143062000,156636000,140818000,17921000,132245000,7.593890049556527,86.34411743629038,91.33404836691437
ALLY,Ally Financial Inc.,57803,2025,1,2025_Q1,20250331,57803,20250331,ALLY BANK,182323000,155287000,15000,0.03299132328197684,0.43,14406000,3.9321951515887967,1503000,1.1074515351798229,3385000,89000,144854000,155287000,140375000,17205000,132311000,7.901361868771356,85.1713716865124,93.28147237051395
ALLY,Ally Financial Inc.,57803,2025,2,2025_Q2,20250630,57803,20250630,ALLY BANK,178052000,151303000,563000,0.6234957104676403,7.87,14722000,3.9433499743462366,1360000,1.0210210210210209,3440000,88000,141819000,151303000,137346000,16111000,129777000,8.268371037674386,84.976860692382,93.73178324289671
ALLY,Ally Financial Inc.,57803,2025,3,2025_Q3,20250930,57803,20250930,ALLY BANK,180089000,152626000,1122000,0.8289339537564087,10.32,15059000,4.001232929062555,1353000,1.0056339284387033,3492000,88000,141503000,152626000,137986000,16930000,131078000,8.361976578247422,84.75031789837247,92.71225086158321
ALLY,Ally Financial Inc.,57803,2025,4,2025_Q4,20251231,57803,20251231,ALLY BANK,184648000,155037000,1649000,0.9095211252690231,11.26,15277000,4.026058203314417,1371000,0.9948768558698461,3771000,16000,142143000,155037000,140454000,16712000,134313000,8.273580000866513,83.9635414410121,91.68327560517811
ASB,Associated Banc-Corp,5296,2024,1,2024_Q1,20240331,5296,20240331,ASSOCIATED BANK NA,41085430,33733530,82300,0.8024111724494708,8.02,4124050,2.7844367759294375,183700,0.6217281429559116,51664,5354,28244634,33733530,23386763,14973129,29190670,10.037743307055567,82.1058219422311,83.7286640324923
ASB,Associated Banc-Corp,5296,2024,2,2024_Q2,20240630,5296,20240630,ASSOCIATED BANK NA,41573081,32764058,203930,0.9897450432202338,9.9,4151348,2.766616070763661,160045,0.5388345713055785,37507,5622,27435483,32764058,23111518,14291440,29346222,9.985663559551913,78.81075256366013,83.73652311322364
ASB,Associated Banc-Corp,5296,2024,3,2024_Q3,20240930,5296,20240930,ASSOCIATED BANK NA,42160789,33823377,296632,0.9542376204354217,9.53,4251516,2.774488546208746,138541,0.4607290820479942,51434,10065,28050573,33823377,23617962,14979903,29708184,10.084052269515166,80.22472492153788,82.93250257063333
ASB,Associated Banc-Corp,5296,2024,4,2024_Q4,20241231,5296,20241231,ASSOCIATED BANK NA,42965617,34897534,129224,0.30951532612236204,3.07,4452640,2.7833725905618576,128898,0.423339443331852,79430,5638,28885201,34897534,24357044,15467247,30084362,10.363263257688118,81.22200130397289,82.77146746242872
ASB,Associated Banc-Corp,5296,2025,1,2025_Q1,20250331,5296,20250331,ASSOCIATED BANK NA,43249136,35229355,104214,0.9670177910270182,9.26,4546126,2.923991173168993,140461,0.4628093215446848,45288,5653,29158529,35229355,23685540,16157190,29978300,10.511483975078715,81.45678332163676,82.76770607920582
ASB,Associated Banc-Corp,5296,2025,2,2025_Q2,20250630,5296,20250630,ASSOCIATED BANK NA,43932191,34198680,217796,1.0040773604334499,9.59,4630554,2.9759426066575636,129373,0.42123458888415144,40601,16374,28337728,34198680,23350474,15897324,30336300,10.54023005590593,77.84423954634997,82.86205198563219
ASB,Associated Banc-Corp,5296,2025,3,2025_Q3,20250930,5296,20250930,ASSOCIATED BANK NA,44393788,34944872,344299,1.0520268855065877,10.01,4705377,2.9975359867556315,110978,0.3576874717560235,50463,4799,28918200,34944872,23780452,16098064,30648186,10.59917887610762,78.71567977033183,82.75377285685866
ASB,Associated Banc-Corp,5296,2025,4,2025_Q4,20251231,5296,20251231,ASSOCIATED BANK NA,45145405,35635550,483092,1.0995049724052457,10.44,4800581,3.0079536789278785,104554,0.3347215448990084,59565,4126,29613845,35635550,24051100,17047967,30858045,10.633598258781818,78.9350544091918,83.10197260881338
AXP,American Express Co,27471,2024,1,2024_Q1,20240331,27471,20240331,AMERICAN EXPRESS NB,189502555,147755180,1560695,3.3751736433409367,37.64,16513795,7.871845723031869,1050359,0.7238451693185008,900107,537576,119217376,147755180,123750442,24980640,140011623,8.714286200521148,77.97001998205249,80.68575057740784
AXP,American Express Co,27471,2024,2,2024_Q2,20240630,27471,20240630,AMERICAN EXPRESS NB,192276019,148704404,3176611,3.3901961546550985,37.85,17189316,7.763520571813835,993973,0.6650214232033709,849645,499446,122574135,148704404,122680750,30302235,144297691,8.939916735014156,77.33902791070373,82.42804631394776
AXP,American Express Co,27471,2024,3,2024_Q3,20240930,27471,20240930,AMERICAN EXPRESS NB,192153512,146507586,5044482,3.566398065111735,39.61,17556722,7.936375078959687,1047668,0.6937627630636946,972227,524984,122668980,146507586,123797198,30074271,145583581,9.13682077275798,76.24507326204893,83.72875654370553
AXP,American Express Co,27471,2024,4,2024_Q4,20241231,27471,20241231,AMERICAN EXPRESS NB,193062339,149994141,6938249,3.6616722306958263,40.12,18549549,8.035520735361851,1183078,0.7431413424333231,932174,563807,124902907,149994141,127474645,29160858,153621461,9.608061880986535,77.69207696173204,83.27185726541146
AXP,American Express Co,27471,2025,1,2025_Q1,20250331,27471,20250331,AMERICAN EXPRESS NB,203447693,158851165,2109169,4.255466605697381,44.75,19159693,8.293664227786813,1115030,0.7069484256070322,980335,535256,131866881,158851165,134098194,34620419,152237569,9.417503200687559,78.07960987790607,83.01285105463344
