ticker,bank_name,period_year,period_quarter,period_label,score,rating,workstream
CFG,Citizens Financial Group Inc/Ri,2025,1,2025_Q1,81.85185185185185,5,ai_activity
CFG,Citizens Financial Group Inc/Ri,2025,2,2025_Q2,89.58333333333334,5,ai_activity
CFG,Citizens Financial Group Inc/Ri,2025,3,2025_Q3,51.17647058823529,3,ai_activity
CFG,Citizens Financial Group Inc/Ri,2025,4,2025_Q4,82.20588235294117,5,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2024,1,2024_Q1,0.0,1,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2024,2,2024_Q2,0.0,1,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2024,3,2024_Q3,0.0,1,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2024,4,2024_Q4,18.6,1,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2025,1,2025_Q1,0.0,1,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2025,2,2025_Q2,0.0,1,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2025,3,2025_Q3,0.0,1,ai_activity
CFR,"Cullen/Frost Bankers, Inc.",2025,4,2025_Q4,41.1764705882353,3,ai_activity
CMA,Comerica Inc,2024,1,2024_Q1,47.60416666666667,3,ai_activity
CMA,Comerica Inc,2024,2,2024_Q2,33.41158536585366,2,ai_activity
CMA,Comerica Inc,2024,3,2024_Q3,43.98148148148148,3,ai_activity
CMA,Comerica Inc,2024,4,2024_Q4,71.10000000000001,4,ai_activity
CMA,Comerica Inc,2025,1,2025_Q1,69.72222222222223,4,ai_activity
CMA,Comerica Inc,2025,2,2025_Q2,0.0,1,ai_activity
CMA,Comerica Inc,2025,3,2025_Q3,68.01470588235294,4,ai_activity
CMA,Comerica Inc,2025,4,2025_Q4,0.0,1,ai_activity
COF,Capital One Financial Corp,2024,1,2024_Q1,27.291666666666664,2,ai_activity
COF,Capital One Financial Corp,2024,2,2024_Q2,78.69817073170732,4,ai_activity
COF,Capital One Financial Corp,2024,3,2024_Q3,33.05555555555555,2,ai_activity
COF,Capital One Financial Corp,2024,4,2024_Q4,78.4,4,ai_activity
COF,Capital One Financial Corp,2025,1,2025_Q1,71.1111111111111,4,ai_activity
COF,Capital One Financial Corp,2025,2,2025_Q2,95.47619047619048,5,ai_activity
COF,Capital One Financial Corp,2025,3,2025_Q3,76.54411764705883,4,ai_activity
COF,Capital One Financial Corp,2025,4,2025_Q4,95.88235294117646,5,ai_activity
COLB,"Columbia Banking System, Inc.",2024,1,2024_Q1,0.0,1,ai_activity
COLB,"Columbia Banking System, Inc.",2024,2,2024_Q2,82.01371951219512,5,ai_activity
COLB,"Columbia Banking System, Inc.",2024,3,2024_Q3,20.0,1,ai_activity
COLB,"Columbia Banking System, Inc.",2024,4,2024_Q4,38.80000000000001,2,ai_activity
COLB,"Columbia Banking System, Inc.",2025,1,2025_Q1,0.0,1,ai_activity
COLB,"Columbia Banking System, Inc.",2025,2,2025_Q2,43.69047619047619,3,ai_activity
COLB,"Columbia Banking System, Inc.",2025,3,2025_Q3,0.0,1,ai_activity
COLB,"Columbia Banking System, Inc.",2025,4,2025_Q4,0.0,1,ai_activity
DFS,Discover Financial Services,2024,1,2024_Q1,0.0,1,ai_activity
DFS,Discover Financial Services,2024,2,2024_Q2,71.08689024390243,4,ai_activity
DFS,Discover Financial Services,2024,3,2024_Q3,0.0,1,ai_activity
DFS,Discover Financial Services,2024,4,2024_Q4,44.65,3,ai_activity
DFS,Discover Financial Services,2025,1,2025_Q1,36.2037037037037,2,ai_activity
DFS,Discover Financial Services,2025,2,2025_Q2,21.428571428571427,2,ai_activity
DFS,Discover Financial Services,2025,3,2025_Q3,0.0,1,ai_activity
DFS,Discover Financial Services,2025,4,2025_Q4,0.0,1,ai_activity
EWBC,East West Bancorp Inc,2024,1,2024_Q1,0.0,1,ai_activity
EWBC,East West Bancorp Inc,2024,2,2024_Q2,69.97865853658537,4,ai_activity
EWBC,East West Bancorp Inc,2024,3,2024_Q3,12.592592592592592,1,ai_activity
EWBC,East West Bancorp Inc,2024,4,2024_Q4,8.0,1,ai_activity
EWBC,East West Bancorp Inc,2025,1,2025_Q1,0.0,1,ai_activity
EWBC,East West Bancorp Inc,2025,2,2025_Q2,19.285714285714285,1,ai_activity
EWBC,East West Bancorp Inc,2025,3,2025_Q3,0.0,1,ai_activity
EWBC,East West Bancorp Inc,2025,4,2025_Q4,9.411764705882353,1,ai_activity
