ticker,bank_name,cert,ffiec_institution_name,period_year,period_quarter,period_label,commercial_loan_90_plus_dpd_numerator,commercial_loan_90_plus_dpd_denominator,commercial_loan_90_plus_dpd_rate,nondepository_requested_numerator,nondepository_requested_denominator,nondepository_requested_rate
FLG,"Flagstar Financial, Inc.",32541,"FLAGSTAR BANK, NATIONAL ASSOCIATION",2025,2,2025_Q2,112348.0,9401941.0,0.011949447459838346,216.0,2138864.0,0.00010098818812229296
FLG,"Flagstar Financial, Inc.",32541,"FLAGSTAR BANK, NATIONAL ASSOCIATION",2025,3,2025_Q3,144760.0,9709329.0,0.014909372213054065,153.0,2368122.0,6.460815785673204e-05
FLG,"Flagstar Financial, Inc.",32541,"FLAGSTAR BANK, NATIONAL ASSOCIATION",2025,4,2025_Q4,111954.0,10072478.0,0.011114841849245043,107.0,2356521.0,4.540591830074928e-05
FNB,Fnb Corp,7888,FIRST NATIONAL BANK OF PENNSYLVANIA,2024,1,2024_Q1,238.0,7166603.0,3.320959735037646e-05,,49137.0,
FNB,Fnb Corp,7888,FIRST NATIONAL BANK OF PENNSYLVANIA,2024,2,2024_Q2,247.0,7017412.0,3.519816137345221e-05,,446418.0,
FNB,Fnb Corp,7888,FIRST NATIONAL BANK OF PENNSYLVANIA,2024,3,2024_Q3,245.0,6954191.0,3.523055377685197e-05,,389467.0,
FNB,Fnb Corp,7888,FIRST NATIONAL BANK OF PENNSYLVANIA,2024,4,2024_Q4,242.0,6822281.0,3.547200708971091e-05,52.0,435712.0,0.0001193448883666275
FNB,Fnb Corp,7888,FIRST NATIONAL BANK OF PENNSYLVANIA,2025,1,2025_Q1,394.0,6846617.0,5.7546668668628606e-05,51.0,429192.0,0.00011882793714701112
FNB,Fnb Corp,7888,FIRST NATIONAL BANK OF PENNSYLVANIA,2025,2,2025_Q2,904.0,6810563.0,0.00013273498828217286,223.0,450675.0,0.0004948133355522273
FNB,Fnb Corp,7888,FIRST NATIONAL BANK OF PENNSYLVANIA,2025,3,2025_Q3,471.0,6832928.0,6.89309180486023e-05,176.0,471790.0,0.00037304733038004195
FNB,Fnb Corp,7888,FIRST NATIONAL BANK OF PENNSYLVANIA,2025,4,2025_Q4,396.0,6873379.0,5.761358423564305e-05,28.0,529726.0,5.285751501719757e-05
GS,Goldman Sachs Group Inc,33124,GOLDMAN SACHS BANK USA,2024,1,2024_Q1,1437000.0,28705000.0,0.05006096498867793,,77320000.0,
GS,Goldman Sachs Group Inc,33124,GOLDMAN SACHS BANK USA,2024,2,2024_Q2,1191000.0,28487000.0,0.04180854424825359,,79040000.0,
GS,Goldman Sachs Group Inc,33124,GOLDMAN SACHS BANK USA,2024,3,2024_Q3,1168000.0,28636000.0,0.040787819527867024,,86537000.0,
GS,Goldman Sachs Group Inc,33124,GOLDMAN SACHS BANK USA,2024,4,2024_Q4,1176000.0,25663000.0,0.04582472820792581,180000.0,91195000.0,0.001973792422830199
GS,Goldman Sachs Group Inc,33124,GOLDMAN SACHS BANK USA,2025,1,2025_Q1,954000.0,27490000.0,0.034703528555838484,113000.0,101392000.0,0.0011144863500078901
GS,Goldman Sachs Group Inc,33124,GOLDMAN SACHS BANK USA,2025,2,2025_Q2,963000.0,23683000.0,0.04066207828400118,97000.0,104121000.0,0.0009316084171300699
GS,Goldman Sachs Group Inc,33124,GOLDMAN SACHS BANK USA,2025,3,2025_Q3,1078000.0,24466000.0,0.044061146080274664,98000.0,107571000.0,0.0009110262059476997
GS,Goldman Sachs Group Inc,33124,GOLDMAN SACHS BANK USA,2025,4,2025_Q4,1125000.0,25839000.0,0.04353883664228492,97000.0,117704000.0,0.0008241011350506355
HBAN,Huntington Bancshares Inc,6560,"HUNTINGTON NATIONAL BANK, THE",2024,1,2024_Q1,284857.0,35571903.0,0.008007921308005365,,6830913.0,
HBAN,Huntington Bancshares Inc,6560,"HUNTINGTON NATIONAL BANK, THE",2024,2,2024_Q2,275027.0,35797228.0,0.0076829133250205855,,7183206.0,
HBAN,Huntington Bancshares Inc,6560,"HUNTINGTON NATIONAL BANK, THE",2024,3,2024_Q3,321916.0,36312086.0,0.00886525769959897,,7644587.0,
HBAN,Huntington Bancshares Inc,6560,"HUNTINGTON NATIONAL BANK, THE",2024,4,2024_Q4,388444.0,37395167.0,0.010387545534961778,246.0,9132766.0,2.6935979745895164e-05
HBAN,Huntington Bancshares Inc,6560,"HUNTINGTON NATIONAL BANK, THE",2025,1,2025_Q1,361721.0,39111188.0,0.009248530113685118,1202.0,9236726.0,0.00013013268987301346
HBAN,Huntington Bancshares Inc,6560,"HUNTINGTON NATIONAL BANK, THE",2025,2,2025_Q2,405010.0,39838961.0,0.010166178781620334,3015.0,10400871.0,0.0002898795687399642
HBAN,Huntington Bancshares Inc,6560,"HUNTINGTON NATIONAL BANK, THE",2025,3,2025_Q3,392221.0,40594423.0,0.009661942971821524,7911.0,11523007.0,0.0006865395464916406
HBAN,Huntington Bancshares Inc,6560,"HUNTINGTON NATIONAL BANK, THE",2025,4,2025_Q4,499010.0,42854966.0,0.01164415811227105,16678.0,15320689.0,0.0010885933393726614
JPM,Jpmorgan Chase & Co,628,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",2024,1,2024_Q1,2040000.0,206855000.0,0.009861980614440066,,102044000.0,
JPM,Jpmorgan Chase & Co,628,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",2024,2,2024_Q2,2089000.0,210097000.0,0.00994302631641575,,109357000.0,
JPM,Jpmorgan Chase & Co,628,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",2024,3,2024_Q3,2306000.0,210832000.0,0.010937618577824998,,121256000.0,
JPM,Jpmorgan Chase & Co,628,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",2024,4,2024_Q4,2340000.0,209019000.0,0.011195154507484966,0.0,133323000.0,0.0
JPM,Jpmorgan Chase & Co,628,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",2025,1,2025_Q1,2645000.0,208422000.0,0.012690598881116196,237000.0,189669000.0,0.0012495452604273762
JPM,Jpmorgan Chase & Co,628,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",2025,2,2025_Q2,2765000.0,216592000.0,0.01276593780010342,14000.0,205836000.0,6.801531316193474e-05
JPM,Jpmorgan Chase & Co,628,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",2025,3,2025_Q3,3246000.0,217372000.0,0.014932926043832692,213000.0,226018000.0,0.0009424028174747144
JPM,Jpmorgan Chase & Co,628,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",2025,4,2025_Q4,2516000.0,222928000.0,0.011286155171176345,101000.0,237849000.0,0.0004246391618211554
KEY,Keycorp,17534,KEYBANK NATIONAL ASSOCIATION,2024,1,2024_Q1,414006.0,42855969.0,0.009660404598481952,,4418773.0,
KEY,Keycorp,17534,KEYBANK NATIONAL ASSOCIATION,2024,2,2024_Q2,442978.0,41550426.0,0.010661214400064154,,3714605.0,
KEY,Keycorp,17534,KEYBANK NATIONAL ASSOCIATION,2024,3,2024_Q3,416677.0,41865646.0,0.009952718751789952,,5393235.0,
KEY,Keycorp,17534,KEYBANK NATIONAL ASSOCIATION,2024,4,2024_Q4,354325.0,29882121.0,0.011857424712255198,128.0,17505184.0,7.312119655526043e-06
KEY,Keycorp,17534,KEYBANK NATIONAL ASSOCIATION,2025,1,2025_Q1,318077.0,31508160.0,0.010095067436498989,14826.0,17671819.0,0.0008389628707718204
KEY,Keycorp,17534,KEYBANK NATIONAL ASSOCIATION,2025,2,2025_Q2,288871.0,33717566.0,0.00856737405066546,20890.0,17723718.0,0.0011786466022535452
